Word,Article,Count
anonh,1,1
anonswallow,1,1
anonwith,1,1
anopen,1,1
anot,1,1
anoth,174,249
another,16,17
anotheragainst,1,1
anothernot,1,1
anotherquest,1,1
anotherso,1,1
anothertal,1,1
anotherwhil,1,1
anotherwithin,1,1
anotherwrit,1,1
anotori,1,1
anowl,1,1
anselm,1,1
answer,212,383
answera,2,2
answerabout,1,1
answeran,1,1
answere,2,2
answerest,1,1
answerfrom,1,1
answerin,1,1
answeringa,1,1
answerlewi,1,1
answerm,1,1
answersand,1,1
answersto,1,1
answerth,1,1
answerthat,1,1
answerthe,1,1
answerthi,2,2
answerwith,1,1
answeryou,2,2
ant,3,3
antenor,6,10
antenordeliv,1,1
anth,2,2
anthem,2,2
anthoni,4,4
anthonydul,1,1
anthou,1,1
anthropophagi,1,1
antiat,1,2
antiatesthan,1,1
antiateswa,1,1
antic,11,11
anticip,2,2
anticipatest,1,1
anticipationprev,1,1
antidot,1,1
antidotecleans,1,1
antigonus,4,6
antioch,5,8
antiochus,7,13
antiopa,1,1
antipathythan,1,1
antipod,5,5
antiqu,12,12
antiquari,1,1
antiquiti,1,1
antiquius,1,1
antium,2,5
antoni,47,176
antoniad,1,1
antonio,21,67
antoniocommend,1,1
antonioi,1,1
antoniothat,1,1
antonius,6,9
antoniussend,1,1
antonya,1,1
antonyb,1,1
antonybi,1,1
antonycom,1,1
antonydid,1,1
antonyhath,1,1
antonyhav,1,1
antonyher,1,1
antonyi,4,4
antonyin,2,2
antonymay,1,1
antonyno,1,1
antonyoctavia,1,1
antonyput,1,1
antonyshal,2,2
antonyshould,2,2
antonywil,2,2
antonywould,1,1
antr,1,1
anunmann,1,1
anunneri,1,2
anunstanch,1,1
anurin,1,1
anvil,2,2
anybut,1,1
anychristom,1,1
anydemonstr,1,1
anyfriend,1,1
anyindiffer,1,1
anyintellectu,1,1
anykind,1,1
anyladi,1,1
anyloss,1,1
anyman,2,2
anynightingal,1,1
anyoccup,1,1
anyopportun,1,1
anyoth,1,1
anypretti,1,1
anyproof,1,1
anypurpos,1,1
anyreason,1,1
anyright,1,1
anysav,1,1
anysuch,1,1
anysuck,1,1
anyth,13,13
anythat,2,2
anythingthat,1,1
anytim,2,2
anyvillani,1,1
anywith,1,1
ap,1,1
apac,21,21
apace,1,1
apaceto,1,1
apap,1,1
aparcel,2,2
aparl,1,1
aparrot,1,1
apart,18,19
apartand,1,1
apartfor,1,1
apartridg,1,1
apartth,1,1
apartthat,1,1
aparttheir,1,1
apartto,1,1
ape,24,28
apeacock,1,1
apedlar,1,1
apemantus,4,24
apennin,1,1
aperfect,1,1
aperpetu,1,1
apersuas,1,1
apeswith,1,1
apex,1,1
aphysician,1,1
apiec,3,3
apish,4,4
aplac,1,1
aplagu,3,3
apleasur,1,1
apolitician,1,1
apollinem,1,1
apollo,16,23
apollodorus,1,1
apolloget,1,1
apolloturn,1,1
apolog,4,4
apoor,1,1
apoplex,1,1
apoplexi,3,4
apostl,2,2
apostrapha,1,1
apostscript,1,1
apothecari,3,4
apothecarybr,1,1
